Additive,Type,Regulatory Status,Uses,CFR,,,,
Potassium salts of fatty acids,MISC,REG,Miscellaneous,172.863,,,,
Potassium sorbate,PRES,GRAS/FS,Preservative,"182.3640, 133, 150, 166.110, 182.90",,,,
Potassium stearate,MISC,REG,Miscellaneous,"172.863, 173.340, 172.615",,,,
Potassium sulfate,FL/ADJ,GRAS,Flavoring adjuvant,184.163,,,,
Potassium trichloroisocyanurate,SANI,REG,Sanitizing agent,178.101,,,,
Potassium triphosphate,BC,REG,Boiler water additive,173.31,,,,
Prednisolone,VET,REG,Veterinary drug,556.52,,,,
Prednisone,VET,REG,Veterinary drug,556.53,,,,
Prickly ash bark,ESO,GRAS,Essential oil,182.2,,,,
Procaine penicillin,VET,REG,Veterinary drug,"574.274b et al, 556.510",,,,
Progesterone,VET,REG,Veterinary drug,"556.540, 522.1940",,,,
Proline (L form only),NUTR/DS,REG,"Nutrient, dietary supplement",172.32,,,,
Propane,MISC,GRAS,Miscellaneous,"184.1655, 173.350",,,,
Propanoic acid,SANI,REG,Sanitizing agent,178.101,,,,
Propionic acid,PRES,GRAS/FS,Preservative,"184.1081, 133",,,,
"Propyl alcohol, normal",FEED,REG,Feed additive,573.88,,,,
Propylene glycol,MISC,GRAS/FS,Miscellaneous,"184.1666, 169, 582.1666",,,,
Propylene glycol alginate (Propylene glycol ester of alginic acid),MISC,REG,Miscellaneous,"172.858, 135, 166, 169, 172.210",,,,
Propylene glycol mono- & di- esters of fats & fatty acids,EMUL,REG,Emulsifier,"172.856, 136, 173.340",,,,
Propylene oxide,MISC,REG,Miscellaneous,172.892,,,,
Propyl gallate,AOX,GRAS,Antioxidant,"184.1660, 166.110, 172.615, 175.125",,,,
Propylparaben (propyl-p-hydroxybenzoate),PRES,GRAS/FS,Preservative,"184.1670, 150, 526.820, 556.550",,,,
"Protein concentrate, whole fish",DS,REG,Dietary supplement,172.385,,,,
"Protein, hydrolyzed",MISC,FS,Miscellaneous,161.19,,,,
"Protein, vegetable, hydrolyzed",MISC,FS,Miscellaneous,155,,,,
"Prussiate of soda, yellow (Na ferrocyanide decahydrate)",AC,REG,Anticaking agent,"172.490, 573.1020",,,,
Psyllium seed husk,STAB,FS,Stabilizer,135,,,,
Pteroylglutamic acid (aka folic acid),DS,REG,Dietary supplement,172.345,,,,
Pyrantel tartrate,FEED/VET,REG,"Feed additive, veterinary drug","556.560, 558.485, 520.2045",,,,
Pyridoxine hydrochloride,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5676, 184.1676",,,,
Pyrophyllite (aluminum silicate monohydrate),AC/MISC,REG,"Anticaking agent, miscellaneous",573.9,,,,
Quassia,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Quaternary ammonium chloride combination,PRES,REG,Preservative,"172.165, 173.320",,,,
Quebracho bark,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Quillaia (soapbark),FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Quince seed,NAT,GRAS,Natural,182.4,,,,
Quinine hydrochloride or sulfate,FLAV,REG,Flavoring agent,172.575,,,,
Radiation and Radiation sources,,REG,,"179.26, 179.30, 179.39, 179.41",,,,
"Rapeseed oil, fully hydrogenated",STAB,GRAS,Stabilizer,184.1555(a),,,,
"Rapeseed oil, fully hydrogenated, superglycerinated",EMUL,GRAS,Emulsifier,184.1555(b),,,,
"Rapeseed oil, low erucic acid",MISC,GRAS,Miscellaneous,184.1555(c),,,,
"Rapeseed oil, low erucic acid, partially hydrogenated",MISC,GRAS,Miscellaneous,184.1555(c)(2),,,,
Red saunders (red sandalwood),FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Regenerated cellulose,MISC,REG,Miscellaneous,173.25(a)(20),,,,
Rennin (Rennin),MISC,GRAS,Miscellaneous,"131, 133, 582.1685, 184.1685",,,,
"Resin, from formaldehyde, acetone, or tetraethylenepentamine",MISC,REG,Miscellaneous,173.25(a)(8),,,,
Rhatany root,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Rhizopus oryzae,MISC,REG,Miscellaneous,173.13,,,,
"Rhubarb, garden root (Rheum rhaponticum L)",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Rhubarb root,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Riboflavin,NUTR/DS,GRAS/FS,"Nutrient, dietary supplement","182.5695, 184.1695, 137, 139, 136",,,,
Riboflavin-5-phosphate,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5697, 184.1697",,,,
Rice bran wax,CTG/MISC,REG,Component of coating for fruits and vegetables,"172.890, 172.615",,,,
Robenidine HCl,FEED,REG,Feed additive,"556.580, 558.515",,,,
"Rose absolute (otto of roses, attar of roses)",ESO,GRAS,Essential oil,182.2,,,,
"Rose buds, flowers, fruit (hips), leaves",ESO,GRAS,Essential oil,,,,,
Rose geranium,ESO,GRAS,Essential oil,182.2,,,,
Roselle,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Rosemary,SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
Rosidinha (rosadinha),MISC,REG,Miscellaneous,172.615,,,,
Rosin (colophony),FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Rosin, gum, glycerol ester",MISC,REG,Miscellaneous,172.615,,,,
"Rosin, gum or wood, pentaerythritol ester, partially hydrogenated pentaerythritol ester, or partially hydrogenated glycerol ester",MISC,REG,Miscellaneous,172.615,,,,
"Rosin, methyl ester, partially hydrogenated",MISC,REG,Miscellaneous,"172.615, 172.515",,,,
"Rosi, partial dimerized, calcium salt or partially (catalytically) hydrogenated",CTG,REG,Component of coating for fruits and vegetables,172.21,,,,
"Rosin, polymerized glycerol ester, partially hydrogenated glycerol ester, or partially dimerized glycerol ester",MISC,REG,Miscellaneous,172.615,,,,
"Rosin, tall oil, glycerol ester",MISC,REG,Miscellaneous,172.615,,,,
"Rosin, wood",CTG,REG,Component of coating for fruits and vegetables,172.21,,,,
"Rosin, wood, glycerol ester",MISC,REG,Miscellaneous,"172.615, 172.735",,,,
"Rosin, wood, pentaerythritol ester of maleic anhydride",CTG,REG,Component of coating for fruits and vegetables,172.21,,,,
Roxarsone,FEED/VET,REG,"Feed additive, veterinary drug","556.60, 558.530, 520.2087, 520.2088",,,,
"Rubber, butadiene-styrene",MISC,REG,Miscellaneous,172.615,,,,
Rubber (natural) smoked sheet and latex solids,MISC,REG,Miscellaneous,172.615,,,,
Rue,SP/ESO,GRAS,"Spice, essential oil",182.1,,,,
"Rue, oil",FL/ADJ,GRAS,Flavoring adjuvant,184.1699,,,,
Rum,FLAV,FS,Flavoring agent,145,,,,
"Saccharin (ammonicalcium, or sodium)",NNS,REG,Non-nutritive sweetener,"180.37, 145, 150",,,,
Saffron,SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20, 73.500",,,,
Safrole & any oil containing safrole,ILL,ILL,,189.18,,,,
Safrole-free extract of sassafras,FLAV,REG,Flavoring agent,172.58,,,,
"Sage, Greek",ESO/SP,GRAS,"Essential oil, spice","182.10, 182.20",,,,
"Sage, Spanish",SP,GRAS,Spice,182.2,,,,
St. John's bread,ESO,GRAS,Essential oil,182.2,,,,
"St. Johnswort leaves, flowers and caulis",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Salicylic acid,MISC,REG,Miscellaneous,"556.590, 526.820",,,,
Salinomycin,FEED,REG,Feed additive,558.55,,,,
Salts of fatty acids,MISC,REG,Miscellaneous,172.863,,,,
"Sandalwood, white (yellow or East Indian), red",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Sandarac,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Sanitizing solutions,SANI,REG,Sanitizing agent,178.101,,,,
Sarsaparilla,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Sassafras extract, safrole free",FLAV,REG,Flavoring agent,172.58,,,,
Sassafras leaves,FLAV/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Savory, winter or summer",SP/ESO,GRAS,"Spice, essential oil",182.1,,,,
Schinus molle,ESO,GRAS,Essential oil,182.2,,,,
Selenium as Sodium Selenite or Selenate,FEED,REG,Feed additive,573.92,,,,
"Senna, Alexandria",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Serine (L-form only),NUTS/DS,REG,"Nutrient, dietary supplement",172.32,,,,
Serpentaria (Virginia snakeroot),FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Sesame,SP,GRAS,Spice,182.1,,,,
Silica aerogel,AF,GRAS,Antifoaming agent,182.1711,,,,
Silicon dioxide,AC,REG,Anticaking agent,"172.480, 573.940, 160.105, 160.185, 172.892, 172.230, 173.340, 182.90",,,,
Silver nitrate,MISC,REG,Miscellaneous,172.167,,,,
Simaruba bark,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Sloe berries (blackthorn berries),ESO,GRAS,Essential oil,182.2,,,,
Smoke prepared by condensing or precipitating wood smoke,FLAV,FS,Flavoring agent,"133, 161.190",,,,
"Snakeroot, Canadian (wild ginger)",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Sodium acetate,B&N,GRAS/FS,"Buffer, neutralizing agent","184.1721, 173.310, 182.70, 582.121",,,,
Sodium acid phosphate,SEQ,GRAS,Sequestrant,"182.6085, 133",,,,
Sodium acid pyrophosphate,"B&N, EMUL, INH",GRAS/FS,"Buffer, neutralizing agent, emulsifier, inhibitor","137, 133, 161.190(a), 582.1087",,,,
Sodium alginate,STAB,GRAS/FS,Stabilizer,"184.1724, 133, 135, 150, 173.310",,,,
Sodium n-alkylbenzene sulfonate (alkyl group predominately C12 and C13 and not less than 95% C10 to C16),MISC,REG,Miscellaneous,173.315,,,,
Sodium aluminate,BC,REG,Boiler water additive,"173.310, 182.90",,,,
Sodium aluminosilicate (sodium silicoaluminate),AC,GRAS/FS,Anticaking agent,"182.2727, 160.105, 133.146",,,,
Sodium aluminum phosphate,MISC,GRAS/FS,Miscellaneous,"182.1781, 137, 133, 582.1781",,,,
Sodium aluminum sulfate,MISC,GRAS/FS,Miscellaneous,137,,,,
Sodium arsanilate,FEED,REG,Feed additive,,,,,
Sodium ascorbate,PRES,GRAS,Preservative,182.3731,,,,
Sodium benzoate,GRAS/FS,Preservative,"184.1733, 150, 166.110, 146.",,,,,
Sodium bicarbonate,MISC,GRAS/FS,Miscellaneous,"184.1736, 173.385, 178.1010(b)(41), 582.1736",,,,
Sodium bisulfite,PRES,GRAS,Preservative,"182.3739, 161.173",,,,
Sodium borohydride,MISC,REG,Miscellaneous,172.56,,,,
Sodium bromide,SANI,REG,Sanitizing agent,178.101,,,,
Sodium calcium aluminosilicate hydrated (sodium calcium silicoaluminate),AC,GRAS,Anticaking agent,182.2729,,,,
Sodium carbonate,"BC, B&N",GRAS/FS,"Boiler water additive, buffer, neutralizing agent","173.310, 163, 582.1742, 184.1742",,,,
Sodium carbonate w/sodium mono- & dimethyl naphthalene sulfonates,MISC,REG,Miscellaneous,"172.824, 173.315",,,,
Sodium carboxymethylcellulose (cellulose gum),MISC,GRAS,Miscellaneous,"182.1745, 133, 169, 150, 135",,,,
Sodium chloride,GRAS/FS,GRAS,,"182.1, 182.70, 182.90",,,,
Sodium chlorite,MISC,REG,Miscellaneous,172.892,,,,
Sodium citrate,B&N/SEQ,GRAS/FS,"Buffer, neutralizing agent, sequestrant","182.1751, 182.6751, 131, 133, 150, 582.1751",,,,
Sodium cloxacillin,VET,REG,Veterinary drug,556.165,,,,
Sodium cyclamate,NNS,ILL,Non-nutritive sweetener,189.135,,,,
Sodium N-cyclohexyl-N-palmitoyl taurate,SANI,REG,Sanitizing agent,178.1010(b)(40),,,,
Sodium decylbenzenesulfonate,MISC,REG,Miscellaneous,172.21,,,,
Sodium diacetate,MISC,GRAS,Miscellaneous,184.1754,,,,
Sodium dichloroisocyanurate,SANI,REG,Sanitizing agent,178.101,,,,
Sodium dimethyldithiocarbamate,PRES,REG,Preservative,173.32,,,,
Sodium dioctylsulfosuccinate,SANI,REG,Sanitizing agent,178.101,,,,
Sodium dodecylbenzenesulfonate,MISC,REG,Miscellaneous,173.315,,,,
Sodium 2-ethylhexylsulfate,MISC,REG,Miscellaneous,173.315,,,,
Sodium ferrocyanide decahydrate,See Prussiate of soda,,,,,,,
Sodium fluoride,"NUTR, PD/ILL",GMP,"Nutrient, pesticide",,,,,
Sodium glucoheptonate,BC,REG,Boiler water additive,173.31,,,,
Sodium gluconate,MISC,GRAS/FS,Miscellaneous,182.6757,,,,
Sodium hexametaphosphate,"BC, SEQ",GRAS/FS,"Boiler water additive, sequestrant","173.310, 182.6760, 182.90",,,,
Sodium humate,BC,REG,Boiler water additive,173.31,,,,
Sodium hydroxide,"B&N, MISC",GRAS/FS,"Buffer, neutralizing agent","184.1763, 173.310, 582.1763, 172.892, 172.560, 172.814",,,,
Sodium hypochlorite,MISC,REG,Miscellaneous,"172.892, 173.315, 178.1010",,,,
Sodium hypophosphite,EMUL/STAB,GRAS,"Emulsifier, stabilizer",184.1764,,,,
Sodium iodate,DS,GRAS,Dietary supplement,582.8,,,,
Sodium iodide,DS,GRAS,Dietary supplement,"582.80, 178.1010",,,,
Sodium lactate,MISC,GRAS,Miscellaneous,184.1768,,,,
Sodium laurate,MISC,REG,Miscellaneous,172.863,,,,
Sodium lauryl sulfate,EMUL,REG,Emulsifier,"172.822, 173.315, 178.1010",,,,
Sodium lignosulfonate,BC,REG,Boiler water additive,173.31,,,,
Sodium lignum sulfonate,FEED,REG,Feed additive,576.6,,,,
Sodium metabisulfite,PRES,GRAS,Preservative,"182.3766, 173.310",,,,
Sodium metaphosphate,EMUL,GRAS,Emulsifier,182.6769,,,,
Sodium metasilicate,BC,REG,Boiler water additive,173.31,,,,
Sodium methyl sulfate,EMUL,REG,Emulsifier,173.385,,,,
Sodium mono- & dimethylnaphthalenesulfonates,MISC,REG,Miscellaneous,"173.315, 172.824",,,,
Sodium myristate,MISC,REG,Miscellaneous,172.863,,,,
Sodium nicotinate,ILL,ILL,,,,,,
Sodium nitrate,PRES,REG,Preservative,"172.170, 173.310, 181.33",,,,
Sodium nitrite,PRES,REG,Preservative,"172.175, 172.177, 172.170, 181.34",,,,
Sodium 1-octanesulfonate,SANI,REG,Sanitizing agent,178.1010(b)(27),,,,
Sodium oleate,MISC,REG,Miscellaneous,172.863,,,,
Sodium palmitate,MISC,REG,Miscellaneous,172.863,,,,
Sodium pantothenate,MISC,GRAS,Miscellaneous,182.5772,,,,
Sodium pectinate,MISC,GRAS,Miscellaneous,"582.1775, 184.1588",,,,
"Sodium phosphate (mono-, di-, and tribasic)","MISC, SEQ",GRAS/FS,"Miscellaneous, sequestrant","182.1778, 182.6778, 182.5778, 182.8778, 173.310, 133, 150, 137, 139",,,,
Sodium phosphate (monobasic) (monosodium phos­phate),PRES,GRAS/FS,Preservative,"160.110, 163",,,,
Sodium phosphate (dibasic) (disodium phosphate),GRAS,GRAS,,"182.6290, 135, 137, 139",,,,
Sodium polyacrylate-acrylamide resin,MISC,REG,Miscellaneous,173.5,,,,
Sodium polyacrylate,BC,REG,Boiler water additive,173.31,,,,
Sodium polymethacrylate,BC,REG,Boiler water additive,173.31,,,,
Sodium potassium tartrate,MISC,GRAS/FS,Miscellaneous,"184.1804, 133, 150, 582.1804",,,,
Sodium propionate,PRES,GRAS/FS,Preservative,"184.1784, 133, 150, 136",,,,
Sodium pyrophosphate,SEQ,GRAS,Sequestrant,182.6787,,,,
Sodium saccharin,NNS,GRAS/INTERIM,Non,,,,,
Sodium salts of fatty acids,MISC,REG,Miscellaneous,"172.860, 172.863",,,,
Sodium sesquicarbonate,MISC,GRAS,Miscellaneous,184.1792,,,,
Sodium silicate,BC,REG,Boiler water additive,173.31,,,,
Sodium silicoaluminate,AC,GRAS,Anticaking agent,"182.2727, 160.105, 160.185",,,,
Sodium sorbate,PRES,GRAS/FS,Preservative,"182.3089, 133, 150, 166.110, 182.90",,,,
Sodium stearate,MISC,REG,Miscellaneous,"172.615, 172.863, 181.29",,,,
Sodium stearoyl lactylate,REG,REG,,172.846,,,,
Sodium stearyl fumarate,MISC,REG,Miscellaneous,172.826,,,,
Sodium sulfachloropyrazine monohydrate,VET,REG,Veterinary drug,"556.625, 520.2184",,,,
Sodium sulfate,BC,REG,Boiler water additive,173.31,,,,
Sodium sulfide,MISC,REG,Miscellaneous,172.615,,,,
Sodium sulfite,"BC, PRES",GRAS,"Boiler water additive, preservative","173.310, 182.3798",,,,
Sodium sulfo-acetate derivatives (mono- & diglycerides),EMUL,FS,Emulsifier,166.11,,,,
Sodium tartrate,MISC,GRAS/FS,Miscellaneous,"184.1801, 133, 150",,,,
Sodium tetrapyrophosphate,SEQ,GRAS,Sequestrant,182.6789,,,,
Sodium thiosulfate,SEQ,GRAS,Sequestrant,184.1807,,,,
Sodium p-toluenesulfonchloramide,SANI,REG,Sanitizing agent,178.1010(b)(3),,,,
Sodium trichloroisocyanurate,SANI,REG,Sanitizing agent,178.101,,,,
Sodium trimetaphosphate,MISC,REG,Miscellaneous,172.892,,,,
Sodium tripolyphosphate,"BC, SEQ",GRAS,"Boiler water additive, sequestrant","172.310, 172.892, 182.1810, 182.6810, 182.70, 182.90, 582.1810",,,,
Sodium xylenesulfonate,SANI,REG,Sanitizing agent,178.101,,,,
Solvent Extraction Process for Citric Acid,MISC,REG,Miscellaneous,173.28,,,,
Sorbic acid,PRES,GRAS/FS,Preservative,"182.3089, 133, 150, 166.110",,,,
Sorbitan monooleate,EMUL,REG,Emulsifier,173.75,,,,
Sorbitan monostearate,EMUL,REG,Emulsifier,"172.842, 173.340, 573.960",,,,
Sorbitol,MISC,GRAS,Miscellaneous,"184.1835, 182.90",,,,
"Soybean oil, hydrogenated",MISC,GRAS,Miscellaneous,182.7,,,,
"Soybean oil fatty acids, hydroxylated",AF,REG,Antifoaming agent,173.34,,,,
"Soybean protein, isolated",MISC,GRAS,Miscellaneous,"182.70, 166.110",,,,
Spearmint,SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
Spectinomycin,VET,REG,Veterinary drug,"556.600, 520.2123b, 522.2120",,,,
Sperm oil,CTG,REG,Component of coating for fruits and vegetables,172.21,,,,
"Sperm oil, hydrogenated",MISC,REG,Miscellaneous,173.275,,,,
Spike lavender,ESO,GRAS,Essential oil,182.2,,,,
Spruce needles & twigs,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Stannous chloride,"PRES, MISC",GRAS/FS,"Preservative, miscellaneous","155.200, 172.180, 184.1845",,,,
Star anise,SP,GRAS,Spice,182.1,,,,
Starch,SANI,REG,Sanitizing agent,178.101,,,,
"Starch, modified food",MISC,FS,Miscellaneous,"169.150, 169.179, 169.182, 172.892",,,,
"Starch, acid modified",MISC,GRAS,Miscellaneous,182.9,,,,
"Starch, pregelatinized",MISC,GRAS,Miscellaneous,"182.90, 520.2155",,,,
"Starch, unmodified",GRAS/FS,GRAS,,"137, 169.150, 169.179, 169.182, 182.90",,,,
Starter Distillate,FL/ADJ,GRAS,Flavoring adjuvant,184.1848,,,,
Stearic acid,MISC,REG,Miscellaneous,"172.615, 172.860, 184.1090",,,,
"Stearyl alcohol, synthetic",MISC,REG,Miscellaneous,172.864,,,,
Stearyl citrate,PRES,GRAS/FS,Preservative,"182.6851, 166.110",,,,
Stearyl monoglyceridyl citrate,STAB,REG,Stabilizer,172.755,,,,
Stearoyl propylene glycol hydrogen succinate,See Succistearin,,,,,,,
Sterculia gum (karaya gum),MISC,GRAS,Miscellaneous,184.1349,,,,
"Storax, or styrax",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Streptomycin,VET,REG,Veterinary drug,"556.610, 520.2158",,,,
Styrene,MISC,REG,Miscellaneous,"173.20, 173.25, 172.515",,,,
"Styrene, polymeric compounds",MISC,REG,Miscellaneous,173.25,,,,
Succinic acid,GRAS/FS,GRAS,,"131.144, 184.1091, 582.1091",,,,
"Succinic acid, 2,2-dimethylhydrazide",PLANT REGULATOR,REG,Plant regulator,193.41,,,,
Succinic anhydride,MISC,REG,Miscellaneous,172.892,,,,
Succinylated gelatin,MISC,REG,Miscellaneous,172.23,,,,
Succinylated monoglycerides,EMUL,REG,Emulsifier,172.83,,,,
Succistearin (stearoyl propylene glycol hydrogen succinate),EMUL,REG,Emulsifier,172.765,,,,
Sucralose,NNS,REG,Non-nutritive sweetener,172.831,,,,
Sucrose,NUTRS,GRAS,Nutrient,184.1854,,,,
Sucrose acetate isobutyrate (SAIB),STAB,REG,Stabilizer,172.833,,,,
Sucrose fatty acid esters,REG,REG,,172.859,,,,
Sucrose oligoesters,EMUL/STAB,REG,"Emulsifier, stabilizer",172.869,,,,
Strawberry aldehyde (C-16 aldehyde),SY/FL,GRAS,Synthetic flavoring substance,182.6,,,,
Sugar beet extract flavor base,FLAV,REG,Flavoring agent,172.585,,,,
Sulfabromomethazine,VET,REG,Veterinary drug,"556.620, 520.2170",,,,
Sulfachloropyrazine,VET,REG,Veterinary drug,"556.625, 520.2184",,,,
Sulfachlorpyridazine,VET,REG,Veterinary drug,"556.630, 520.2200, 522.2200",,,,
Sulfadimethoxine,VET/FEED,REG,"Veterinary drug, feed additive","556.640, 520.2220, 522.2220",,,,
Sulfadimethoxine + Ormetoprim,FEED,REG,Feed additive,"556.640, 558.575",,,,
Sulfaethoxypyridazine,FEED/VET,REG,"Feed additive, veterinary drug","556.650, 522.2240, 558.579",,,,
Sulfamerazine (N-[4-methyl-2-pyrimidinyl]sulfanilamide),FEED,REG,Feed additive,"556.660, 558.582",,,,
Sulfamethazine,VET,REG,Veterinary drug,"520.2260a, 556.670",,,,
Sulfamethazine a) (w/chlortetracycline & penicillin) b) (w/tylosin),VET/FEED,REG,"Veterinary drug, feed additive","556.670, 558.145, 558.630, 520.2260",,,,
Sulfamethazine sodium,VET,REG,Veterinary drug,"556.670, 520.2661",,,,
Sulfanitran (Acetyl[p-nitrophenyl]sulfanilamide) (w/alk-lomide),FEED/VET,REG,"Feed additive, veterinary drug","556.680, 558.376, 558.530, 520.2320",,,,
Sulfaquinoxaline,FEED,REG,Feed additive,"558.586, 520.2325a, 520.2325b",,,,
Sulfated butyl oleate,MISC,REG,Miscellaneous,172.27,,,,
Sulfathiazole (Combined w/Chlortetracycline and Penicillin),FEED,REG,Feed additive,"556.690, 558.155",,,,
Sulfiting agents,PRES,GRAS,Preservative,"182.3616, 182.3637, 182.3739, 182.3766, 182.3798, 182.3862",,,,
Sulfomyxin (N-sulfomethylpolymyxin B-Sodium salt),VET,REG,Veterinary drug,"556.700, 522.2340",,,,
"Sulfonated lignin, primarily as calcium & sodium salts",SP/ADJ,REG,"Spice, flavoring adjuvant",573.6,,,,
Sulfonated 9-octadecanoic acid,SANI,REG,Sanitizing agent,178.101,,,,
"Sulfonated oleic acid, Na salt",SANI,REG,Sanitizing agent,178.101,,,,
Sulfur dioxide,PRES,GRAS,Preservative,"182.3862, 172.892",,,,
Sulfuric acid,MISC,GRAS,Miscellaneous,"184.1095, 582.1095, 172.892, 172.560, 173.385, 178.1010",,,,
Synthetic fatty alcohols,MISC,REG,Miscellaneous,172.864,,,,
Synthetic flavoring substances,SY/FL,REG,Synthetic flavoring substance,172.515,,,,
Synthetic glycerin,MISC,REG,Miscellaneous,172.866,,,,
Synthetic isoparaffinic petroleum hydrocarbons,MISC,REG,Miscellaneous,172.882,,,,
Synthetic paraffin & succinic derivatives,CTG,REG,Component of coating for fruits and vegetables,172.275,,,,
T,,,,,,,,
Tagetes (marigold) oil,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Tall oil rosin, glycerol ester of",MISC,REG,Miscellaneous,172.615,,,,
"Tallow alcohol, hydrogenated",AF,REG,Antifoaming agent,173.34,,,,
"Tallow, fatty acids",MISC,REG,Miscellaneous,172.86,,,,
"Tallow, hydrogenated, oxidized or sulfated",AF,REG,Antifoaming agent,173.34,,,,
Tamarind,ESO,GRAS,Essential oil,182.2,,,,
Tangerine,ESO,GRAS,Essential oil,182.2,,,,
Tannic acid,"ESO, NAT/FL/ADJ",GRAS,"Essential oil, natural flavoring adjuvant","184.1097, 172.510",,,,
Tannin,BC,REG,Boiler water additive,173.31,,,,
Tansy,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Tarragon,SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
Tartaric acid,MISC,GRAS/FS,Miscellaneous,"184.1099, 131.144, 150.141, 150.161, 582.1099",,,,
Taurine,FEED,REG,Feed additive,573.98,,,,
Tea,ESO,GRAS,Essential oil,182.2,,,,
Technical white mineral oil,MISC,REG,Miscellaneous,"573.680, 172.878, 178.3620",,,,
Terpene resin (Beta-pinene polymer),MISC,REG,Miscellaneous,172.28,,,,
"Terpene resin (synthetic polymers of alpha-pinene, beta-pinene, and/or dipentene & natural polymers of alpha-pinene)",MISC,REG,Miscellaneous,172.615,,,,
Testosterone propionate,VET,REG,Veterinary drug,556.71,,,,
Tetracycline,VET,REG,Veterinary drug,556.72,,,,
Tetraethylenepentamine crosslinked with epichlorohydrin,MISC,REG,Miscellaneous,173.25,,,,
"alpha-[p-(1,1,3,3-Tetramethylbutyl)phenyl]-omega-hydroxypoly(oxyethylene)",PEST,REG,Pesticide,172.71,,,,
Tetrasodium pyrophosphate,SEQ,GRAS/FS,Sequestrant,"182.6789, 133, 135, 173.310, 173.315",,,,
Tetrasodium ethylenediaminetetracetate,MISC,REG,Miscellaneous,173.315,,,,
TBHQ (tertiary butylhydroquinone),AOX,REG,Antioxidant,172.185,,,,
"THBP (2,4,5-trihydroxybutyrophenone)",AOX,REG,Antioxidant,172.19,,,,
Thiamine hydrochloride or mononitrate,NUTR/DS,GRAS/FS,"Nutrient, dietary supplement","184.1875/1878, 182.5875/5878, 137, 139, 136",,,,
Thiabendazole,FEED/VET,REG,Feed additive,,,,,
Thiodipropionic acid,AOX,GRAS,Antioxidant,"182.3109, 181.24",,,,
Thiourea,AOX,BAN,Antioxidant,189.19,,,,
"Thistle, blessed (holy thistle)",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Threonine (L form only),NUTS/DS,REG,"Nutrient, dietary supplement",172.32,,,,
"Thyme, White Thyme",SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
"Thyme, wild or creeping",SP/FLAV/ESO,GRAS,"Spice, flavoring agent, essential oil","182.10, 182.20",,,,
Thymol iodide,DS,GRAS,Dietary supplement,582.8,,,,
Thymus capitatus (Spanish origanum),FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Tiamulin,FEED,REG,Feed additive,"556.738, 520.2455, 558.600",,,,
Tocopherols,PRES,GRAS,Preservative,"182.3890, 184.1890",,,,
Tocopherol acetate,DS/NUTR,GRAS,Dietary supplement,"182.5892, 182.8892",,,,
"Tolu, Balsam, extract ands gum",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Tonka extract,SY/FL,BAN,Synthetic flavoring substance,189.13,,,,
"Torula yeast, dried (Candida utilis)",FLAV,REG,Flavoring agent,172.896,,,,
Tragacanth (gum tragacanth),STAB,GRAS/FS,Stabilizer,"184.1351, 133, 135, 169, 150",,,,
Trenbolone Acetate,VET,REG,Veterinary drug,"556.739, 522.2476",,,,
Trenbolone Acetate & Estradiol,VET,REG,Veterinary drug,"522.2477, 556.739, 556.240",,,,
"Triacetin (glyceryl triacetate or 1,2,3-propanetriol triacetate)",MISC,GRAS,Miscellaneous,184.1901,,,,
Tricalcium phosphate,MISC/DS,GRAS/FS,"Miscellaneous, dietary supplement","182.2906, 137",,,,
Tricalcium silicate,AC,GRAS,Anticaking agent,182.2906,,,,
Trichloroethylene,SOLV,REG,Solvent,173.29,,,,
Trichloroisocyanuric acid,SANI,REG,Sanitizing agent,178.101,,,,
